State,Year,Quarter,Median_Home_Price,Mortgage_rate,Monthly_loan_payment,Minimum_income_needed_monthly,Minimum_income_needed_yearly
MA,2022,2,382555.6666666667,5.266153846153846,2116.315776943036,7054.3859231434535,84652.63107772144
MD,2022,2,292373.0,5.266153846153846,1617.4210619948979,5391.403539982993,64696.842479795916
ME,2022,2,258386.0,5.266153846153846,1429.4033940364318,4764.67798012144,57176.13576145728
MI,2022,2,179460.33333333334,5.266153846153846,992.7829277189015,3309.2764257296717,39711.31710875606
MN,2022,2,243255.0,5.266153846153846,1345.6979968587007,4485.659989529003,53827.91987434804
MO,2022,2,190825.66666666663,5.266153846153846,1055.6564813983655,3518.8549379945516,42226.25925593462
MS,2022,2,225449.8333333333,5.266153846153846,1247.1989850518778,4157.329950172926,49887.95940207511
MT,2022,2,492038.0,5.266153846153846,2721.9771473489195,9073.257157829732,108879.08589395678
NC,2022,2,226254.3333333333,5.266153846153846,1251.6495165454662,4172.165055151554,50065.98066181865
ND,2022,2,275643.0,5.266153846153846,1524.8699222960383,5082.899740986794,60994.79689184153
NE,2022,2,243495.0,5.266153846153846,1347.0256880438606,4490.085626812869,53881.027521754426
NH,2022,2,391073.3333333333,5.266153846153846,2163.4359059074695,7211.453019691566,86537.43623629879
NJ,2022,2,301421.3333333333,5.266153846153846,1667.4768636909635,5558.256212303212,66699.07454763855
NM,2022,2,230991.3333333333,5.266153846153846,1277.854821312561,4259.51607104187,51114.19285250244
NV,2022,2,447029.0,5.266153846153846,2472.9852617119814,8243.284205706605,98919.41046847925
NY,2022,2,184524.16666666663,5.266153846153846,1020.7962897180091,3402.6542990600306,40831.85158872037
OH,2022,2,149159.33333333334,5.266153846153846,825.1563835458505,2750.5212784861687,33006.255341834025
OK,2022,2,162288.16666666666,5.266153846153846,897.7857014129381,2992.619004709794,35911.42805651753
OR,2022,2,419511.6666666667,5.266153846153846,2320.7580912712515,7735.860304237505,92830.32365085007
PA,2022,2,171573.66666666666,5.266153846153846,949.1535201621169,3163.8450672070567,37966.14080648468
RI,2022,2,404405.3333333333,5.266153846153846,2237.189151243106,7457.297170810354,89487.56604972425
SC,2022,2,234620.66666666663,5.266153846153846,1297.9324624570356,4326.4415415234525,51917.29849828143
SD,2022,2,311202.5,5.266153846153846,1721.5867335406047,5738.622445135349,68863.4693416242
TN,2022,2,241199.3333333333,5.266153846153846,1334.3259530546984,4447.753176848995,53373.03812218794
TX,2022,2,242108.16666666663,5.266153846153846,1339.353661410724,4464.512204702413,53574.14645642896
USA,2022,2,342294.6666666667,5.266153846153846,1893.590048585846,6311.966828619487,75743.60194343385
UT,2022,2,528639.6666666666,5.266153846153846,2924.459273163489,9748.19757721163,116978.37092653956
VA,2022,2,258265.3333333333,5.266153846153846,1428.735860412782,4762.4528680426065,57149.43441651128
VT,2022,2,321143.1666666667,5.266153846153846,1776.5789648237167,5921.929882745722,71063.15859294866
WA,2022,2,438096.8333333333,5.266153846153846,2423.5720994298435,8078.573664766145,96942.88397719373
WI,2022,2,209098.3333333333,5.266153846153846,1156.7417249929479,3855.805749976493,46269.66899971792
WV,2022,2,161223.66666666666,5.266153846153846,891.8968378020933,2972.989459340311,35675.87351208373
WY,2022,2,305562.0,5.266153846153846,1690.383224666043,5634.61074888681,67615.32898664172
AL,2022,3,190548.5,5.623076923076923,1096.6732983145134,3655.577661048378,43866.93193258054
AR,2022,3,176872.83333333334,5.623076923076923,1017.9650509655019,3393.216836551673,40718.602038620076
AZ,2022,3,357330.0,5.623076923076923,2056.5591945710676,6855.197315236892,82262.3677828427
CA,2022,3,530298.8333333334,5.623076923076923,3052.0553593652285,10173.517864550762,122082.21437460915
CO,2022,3,552708.6666666666,5.623076923076923,3181.0317923276766,10603.439307758923,127241.27169310708
CT,2022,3,325765.0,5.623076923076923,1874.89157366984,6249.638578899467,74995.6629467936
DE,2022,3,323710.8333333333,5.623076923076923,1863.069125665153,6210.230418883843,74522.76502660612
FL,2022,3,331724.6666666667,5.623076923076923,1909.1915408707805,6363.971802902602,76367.66163483122
GA,2022,3,212572.3333333333,5.623076923076923,1223.4281661995706,4078.093887331902,48937.12664798282
HI,2022,3,943005.5,5.623076923076923,5427.326649192866,18091.08883064289,217093.06596771468
IA,2022,3,192492.3333333333,5.623076923076923,1107.8607393756627,3692.869131252209,44314.42957502651
ID,2022,3,374348.1666666667,5.623076923076923,2154.5046990993083,7181.6823303310275,86180.18796397233
IL,2022,3,128788.33333333331,5.623076923076923,741.2219267068261,2470.7397556894207,29648.877068273046
IN,2022,3,184023.3333333333,5.623076923076923,1059.1186807216943,3530.395602405648,42364.747228867775
KS,2022,3,220046.66666666663,5.623076923076923,1266.4455701117963,4221.485233705988,50657.822804471856
